37001,Alamance,NC,37001,87.3,rural,2006
48365,Panola,TX,48365,83.9,rural,2006
36029,Erie,NY,36029,81.3,urban,2006
42129,Westmoreland,PA,42129,72.7,rural,2006
48237,Jack,TX,48237,0.0,rural,2006
36023,Cortland,NY,36023,33.9,rural,2006
36021,Columbia,NY,36021,58.3,rural,2006
36027,Dutchess,NY,36027,52.7,rural,2006
36025,Delaware,NY,36025,60.1,rural,2006
48091,Comal,TX,48091,74.7,rural,2006
42125,Washington,PA,42125,76.2,rural,2006
48235,Irion,TX,48235,0.0,rural,2006
48233,Hutchinson,TX,48233,83.7,rural,2006
51065,Fluvanna,VA,51065,28.8,rural,2006
48149,Fayette,TX,48149,64.5,rural,2006
48419,Shelby,TX,48419,101.8,rural,2006
48145,Falls,TX,48145,43.8,rural,2006
48147,Fannin,TX,48147,56.9,rural,2006
48141,El Paso,TX,48141,32.5,urban,2006
48143,Erath,TX,48143,89.0,rural,2006
01111,Randolph,AL,01111,56.4,rural,2006
01113,Russell,AL,01113,139.5,rural,2006
01115,St. Clair,AL,01115,79.1,rural,2006
01117,Shelby,AL,01117,110.4,urban,2006
01119,Sumter,AL,01119,39.0,rural,2006
45061,Lee,SC,45061,53.5,rural,2006
13059,Clarke,GA,13059,113.4,urban,2006
45065,McCormick,SC,45065,37.4,rural,2006
45067,Marion,SC,45067,107.3,rural,2006
13053,Chattahoochee,GA,13053,0.0,rural,2006
13051,Chatham,GA,13051,97.5,urban,2006
13057,Cherokee,GA,13057,75.5,rural,2006
13055,Chattooga,GA,13055,103.4,rural,2006
48231,Hunt,TX,48231,90.9,rural,2006
01045,Dale,AL,01045,64.0,rural,2006
40073,Kingfisher,OK,40073,67.4,rural,2006
37177,Tyrrell,NC,37177,89.0,rural,2006
37175,Transylvania,NC,37175,103.3,rural,2006
37173,Swain,NC,37173,67.4,rural,2006
37171,Surry,NC,37171,151.1,rural,2006
37179,Union,NC,37179,66.5,rural,2006
08053,Hinsdale,CO,08053,0.0,rural,2006
08051,Gunnison,CO,08051,49.8,rural,2006
48029,Bexar,TX,48029,57.1,urban,2006
08057,Jackson,CO,08057,0.0,rural,2006
08055,Huerfano,CO,08055,93.5,rural,2006
08059,Jefferson,CO,08059,72.2,urban,2006
54089,Summers,WV,54089,90.6,rural,2006
31129,Nuckolls,NE,31129,151.7,rural,2006
31127,Nemaha,NE,31127,118.4,rural,2006
31125,Nance,NE,31125,0.0,rural,2006
31123,Morrill,NE,31123,50.7,rural,2006
31121,Merrick,NE,31121,60.2,rural,2006
18149,Starke,IN,18149,121.2,rural,2006
54085,Ritchie,WV,54085,47.1,rural,2006
37125,Moore,NC,37125,88.8,rural,2006
18141,St. Joseph,IN,18141,86.5,urban,2006
18143,Scott,IN,18143,204.6,rural,2006
18145,Shelby,IN,18145,88.7,rural,2006
18147,Spencer,IN,18147,13.1,rural,2006
37127,Nash,NC,37127,94.0,rural,2006
37121,Mitchell,NC,37121,136.7,rural,2006
29109,Lawrence,MO,29109,72.5,rural,2006
46011,Brookings,SD,46011,36.9,rural,2006
05093,Mississippi,AR,05093,106.2,rural,2006
29101,Johnson,MO,29101,46.8,rural,2006
29103,Knox,MO,29103,0.0,rural,2006
37123,Montgomery,NC,37123,84.8,rural,2006
29105,Laclede,MO,29105,140.3,rural,2006
29107,Lafayette,MO,29107,16.0,rural,2006
55111,Sauk,WI,55111,71.4,rural,2006
55113,Sawyer,WI,55113,49.8,rural,2006
55115,Shawano,WI,55115,62.3,rural,2006
55117,Sheboygan,WI,55117,65.5,rural,2006
48303,Lubbock,TX,48303,82.0,urban,2006
55119,Taylor,WI,55119,41.1,rural,2006
34041,Warren,NJ,34041,60.7,rural,2006
46013,Brown,SD,46013,47.2,rural,2006
48301,Loving,TX,48301,0.0,rural,2006
48307,McCulloch,TX,48307,45.7,rural,2006
51161,Roanoke,VA,51161,91.5,rural,2006
